ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201718,RM1E10400C,SCUOLA PRIMARIA,5,25,25,0,0,0
201718,APRF3R500G,SCUOLA SECONDARIA II GRADO,5,21,21,0,0,0
201718,SARFTV500I,SCUOLA SECONDARIA II GRADO,2,3,0,3,0,3
201718,PVTD065009,SCUOLA SECONDARIA II GRADO,5,5,5,0,0,0
201718,TS1E008001,SCUOLA PRIMARIA,5,26,25,1,1,0
201718,RC1E01100G,SCUOLA PRIMARIA,5,17,16,1,0,1
201718,BG1M029002,SCUOLA SECONDARIA I GRADO,3,23,23,0,0,0
201718,TO1E025004,SCUOLA PRIMARIA,5,16,14,2,1,1
201718,LI1E006005,SCUOLA PRIMARIA,5,39,37,2,1,1
201718,NA1E00400L,SCUOLA PRIMARIA,5,10,8,2,0,2
201718,VARH01500A,SCUOLA SECONDARIA II GRADO,1,52,49,3,0,3
201718,MIPS06500Q,SCUOLA SECONDARIA II GRADO,4,33,32,1,0,1
201718,CE1E06800N,SCUOLA PRIMARIA,5,11,10,1,0,1
201718,RM1E106004,SCUOLA PRIMARIA,2,41,37,4,1,3
201718,RMPLPB500B,SCUOLA SECONDARIA II GRADO,3,6,6,0,0,0
201718,MI1M00900B,SCUOLA SECONDARIA I GRADO,1,79,79,0,0,0
201718,MIRC6C500T,SCUOLA SECONDARIA II GRADO,3,4,4,0,0,0
201718,UD1M00700C,SCUOLA SECONDARIA I GRADO,1,35,34,1,1,0
201718,TO1M039007,SCUOLA SECONDARIA I GRADO,2,147,140,7,1,6
201718,COTD105001,SCUOLA SECONDARIA II GRADO,2,5,5,0,0,0
201718,NA1E25100X,SCUOLA PRIMARIA,1,10,10,0,0,0
201718,BS1M00700N,SCUOLA SECONDARIA I GRADO,3,30,30,0,0,0
201718,BO1E01600L,SCUOLA PRIMARIA,1,48,48,0,0,0
201718,MITL09500T,SCUOLA SECONDARIA II GRADO,5,9,9,0,0,0
201718,MIPS09500G,SCUOLA SECONDARIA II GRADO,1,53,52,1,0,1
201718,RMPS505001,SCUOLA SECONDARIA II GRADO,2,18,18,0,0,0
201718,BAPLS4500L,SCUOLA SECONDARIA II GRADO,3,14,13,1,0,1
201718,VA1M01900X,SCUOLA SECONDARIA I GRADO,3,23,21,2,1,1
201718,MI1E11800T,SCUOLA PRIMARIA,2,25,24,1,0,1
201718,MI1E14300E,SCUOLA PRIMARIA,5,12,9,3,0,3
201718,RM1E01100P,SCUOLA PRIMARIA,5,29,28,1,1,0
201718,NATD51500C,SCUOLA SECONDARIA II GRADO,3,12,12,0,0,0
201718,TOTB005001,SCUOLA SECONDARIA II GRADO,4,7,7,0,0,0
201718,METDP0500I,SCUOLA SECONDARIA II GRADO,1,2,2,0,0,0
201718,PO1E00700X,SCUOLA PRIMARIA,5,44,31,13,0,13
201718,CR1E006002,SCUOLA PRIMARIA,2,17,16,1,0,1
201718,BO1E01700C,SCUOLA PRIMARIA,3,40,39,1,1,0
201718,FITD01500X,SCUOLA SECONDARIA II GRADO,5,21,20,1,0,1
201718,VI1M003004,SCUOLA SECONDARIA I GRADO,2,25,25,0,0,0
201718,BG1E02500D,SCUOLA PRIMARIA,3,51,51,0,0,0
201718,BLPM01500Q,SCUOLA SECONDARIA II GRADO,5,14,14,0,0,0
201718,FI1E063008,SCUOLA PRIMARIA,5,11,10,1,0,1
201718,RMPS525006,SCUOLA SECONDARIA II GRADO,4,17,16,1,0,1
201718,CA1E00600X,SCUOLA PRIMARIA,3,25,23,2,0,2
201718,NAPM455007,SCUOLA SECONDARIA II GRADO,3,10,10,0,0,0
201718,PA1E02000B,SCUOLA PRIMARIA,1,12,12,0,0,0
201718,MI1E12800C,SCUOLA PRIMARIA,2,33,33,0,0,0
