ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
201920,BNTF2A500Q,SCUOLA SECONDARIA II GRADO,5,2,56,14
201920,MITD13500L,SCUOLA SECONDARIA II GRADO,2,1,11,6
201920,CE1E03800T,SCUOLA PRIMARIA,5,1,15,8
201920,NATN7V500I,SCUOLA SECONDARIA II GRADO,2,1,3,3
201920,VI1M01500A,SCUOLA SECONDARIA I GRADO,1,1,11,5
201920,BSTD01500C,SCUOLA SECONDARIA II GRADO,1,1,12,13
201920,PD1E00900C,SCUOLA PRIMARIA,2,1,8,10
201920,RMPSBI5001,SCUOLA SECONDARIA II GRADO,1,1,21,2
201920,CT1M02400B,SCUOLA SECONDARIA I GRADO,3,1,19,4
201920,BN1M4D5009,SCUOLA SECONDARIA I GRADO,1,1,11,8
201920,PR1E00500B,SCUOLA PRIMARIA,3,2,19,18
201920,SAPC005001,SCUOLA SECONDARIA II GRADO,5,1,4,8
201920,KR1E002001,SCUOLA PRIMARIA,2,1,10,3
201920,CTRHMM500U,SCUOLA SECONDARIA II GRADO,2,1,4,2
201920,PA1E04500Q,SCUOLA PRIMARIA,5,1,9,20
201920,RCTDBT500S,SCUOLA SECONDARIA II GRADO,4,1,13,2
201920,PAPC07500N,SCUOLA SECONDARIA II GRADO,3,1,6,4
201920,MO1E00200L,SCUOLA PRIMARIA,3,1,13,14
201920,RMTD00500C,SCUOLA SECONDARIA II GRADO,2,1,2,0
201920,TOPLM6500B,SCUOLA SECONDARIA II GRADO,3,1,0,2
201920,RMPS18500A,SCUOLA SECONDARIA II GRADO,5,2,29,14
201920,MB1E09200Q,SCUOLA PRIMARIA,2,1,10,4
201920,TVPS035008,SCUOLA SECONDARIA II GRADO,4,2,19,9
201920,COPL11500E,SCUOLA SECONDARIA II GRADO,4,4,12,21
201920,VAPS025007,SCUOLA SECONDARIA II GRADO,3,1,10,4
201920,CA1E00900B,SCUOLA PRIMARIA,5,1,8,12
201920,CAPS005009,SCUOLA SECONDARIA II GRADO,2,1,13,10
201920,NA1E221004,SCUOLA PRIMARIA,2,1,4,6
201920,MNPL02500L,SCUOLA SECONDARIA II GRADO,1,1,4,5
201920,LT1E00200R,SCUOLA PRIMARIA,1,1,10,18
201920,PA1E048007,SCUOLA PRIMARIA,5,2,24,29
201920,RM1E13100R,SCUOLA PRIMARIA,5,1,11,9
201920,RCTD1B500I,SCUOLA SECONDARIA II GRADO,2,1,0,1
201920,RMTDOO500A,SCUOLA SECONDARIA II GRADO,4,1,8,2
201920,MT1E00100E,SCUOLA PRIMARIA,5,1,12,6
201920,TATD08500T,SCUOLA SECONDARIA II GRADO,3,2,20,11
201920,CE1E03500A,SCUOLA PRIMARIA,5,1,10,9
201920,NA1E270009,SCUOLA PRIMARIA,5,1,7,5
201920,GEPLZR500Q,SCUOLA SECONDARIA II GRADO,1,1,3,5
201920,RMPS97500P,SCUOLA SECONDARIA II GRADO,1,1,17,3
201920,NA1E149003,SCUOLA PRIMARIA,5,1,2,2
201920,PD1E021003,SCUOLA PRIMARIA,4,1,12,6
201920,ALRH01500G,SCUOLA SECONDARIA II GRADO,2,1,19,9
201920,SA1E00200B,SCUOLA PRIMARIA,5,1,14,11
201920,NA1E04100G,SCUOLA PRIMARIA,5,3,44,37
201920,APTFI65001,SCUOLA SECONDARIA II GRADO,5,1,23,4
201920,CATD005005,SCUOLA SECONDARIA II GRADO,3,1,6,0
201920,CE1E00900T,SCUOLA PRIMARIA,5,1,13,6
201920,MI1E00700E,SCUOLA PRIMARIA,4,2,29,9
201920,CE1E05600B,SCUOLA PRIMARIA,2,1,9,5
201920,RMPC00500D,SCUOLA SECONDARIA II GRADO,2,1,5,6
201920,GE1M03300E,SCUOLA SECONDARIA I GRADO,3,1,11,14
201920,RGRHH6500Z,SCUOLA SECONDARIA II GRADO,3,1,3,1
201920,NA1E07700A,SCUOLA PRIMARIA,2,1,6,9
201920,VAPS785001,SCUOLA SECONDARIA II GRADO,2,1,16,5
201920,NAPM115006,SCUOLA SECONDARIA II GRADO,5,1,0,16
201920,RM1E099006,SCUOLA PRIMARIA,3,2,23,18
201920,NATF2S500C,SCUOLA SECONDARIA II GRADO,2,1,12,5
201920,RMPSPG500N,SCUOLA SECONDARIA II GRADO,1,1,7,4
201920,VA1M017008,SCUOLA SECONDARIA I GRADO,2,5,56,63
201920,CE1E00300V,SCUOLA PRIMARIA,5,1,10,10
201920,TEPS00500G,SCUOLA SECONDARIA II GRADO,3,1,7,8
201920,BOPSR2500M,SCUOLA SECONDARIA II GRADO,3,2,21,16
201920,TOPM035001,SCUOLA SECONDARIA II GRADO,3,1,10,19
201920,RM1M07100G,SCUOLA SECONDARIA I GRADO,2,4,39,51
201920,GO1E00100A,SCUOLA PRIMARIA,4,2,15,24
201920,NA1E6E500B,SCUOLA PRIMARIA,2,2,17,8
201920,AT1ENP5001,SCUOLA PRIMARIA,2,1,6,11
201920,PG1EPF500P,SCUOLA PRIMARIA,4,1,11,7
201920,NA1E17900V,SCUOLA PRIMARIA,4,1,5,6
201920,GEPS04500R,SCUOLA SECONDARIA II GRADO,5,2,23,16
201920,RN1E00200T,SCUOLA PRIMARIA,5,1,10,10
201920,NA1E01200G,SCUOLA PRIMARIA,5,1,5,7
201920,NAPS4U500S,SCUOLA SECONDARIA II GRADO,3,1,10,7
201920,RMPS4A500Z,SCUOLA SECONDARIA II GRADO,2,1,18,5
201920,NA1E1M500R,SCUOLA PRIMARIA,4,1,4,2
