ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201516,PO1E013007,SCUOLA PRIMARIA,1,24,16,8,0,8
201516,ATPL025008,SCUOLA SECONDARIA II GRADO,1,13,12,1,1,0
201516,MIPS445002,SCUOLA SECONDARIA II GRADO,5,25,25,0,0,0
201516,SARF205004,SCUOLA SECONDARIA II GRADO,2,2,2,0,0,0
201516,NATF30500A,SCUOLA SECONDARIA II GRADO,3,7,7,0,0,0
201516,PASD005001,SCUOLA SECONDARIA II GRADO,4,97,97,0,0,0
201516,CS1E00600D,SCUOLA PRIMARIA,5,26,26,0,0,0
201516,NAPM015009,SCUOLA SECONDARIA II GRADO,5,21,21,0,0,0
201516,PV1M00600N,SCUOLA SECONDARIA I GRADO,2,39,38,1,1,0
201516,KR1E002001,SCUOLA PRIMARIA,3,46,45,1,1,0
201516,CA1M01200C,SCUOLA SECONDARIA I GRADO,1,91,89,2,0,2
201516,PD1M007002,SCUOLA SECONDARIA I GRADO,2,43,40,3,0,3
201516,AP1E00400B,SCUOLA PRIMARIA,5,18,18,0,0,0
201516,BS1E011004,SCUOLA PRIMARIA,1,16,16,0,0,0
201516,VR1E01300T,SCUOLA PRIMARIA,3,21,21,0,0,0
201516,SS1E01300B,SCUOLA PRIMARIA,4,6,6,0,0,0
201516,LISL015002,SCUOLA SECONDARIA II GRADO,3,4,4,0,0,0
201516,TVPL07500D,SCUOLA SECONDARIA II GRADO,1,7,7,0,0,0
201516,CE1E05600B,SCUOLA PRIMARIA,5,17,17,0,0,0
201516,PASD01500G,SCUOLA SECONDARIA II GRADO,3,44,44,0,0,0
201516,MI1M089008,SCUOLA SECONDARIA I GRADO,3,8,8,0,0,0
201516,TV1E006003,SCUOLA PRIMARIA,5,22,22,0,0,0
201516,SA1E020001,SCUOLA PRIMARIA,4,23,23,0,0,0
201516,PE1M0Q500M,SCUOLA SECONDARIA I GRADO,3,1,1,0,0,0
201516,BO1M00900P,SCUOLA SECONDARIA I GRADO,2,59,59,0,0,0
201516,PDRHMH500P,SCUOLA SECONDARIA II GRADO,1,22,22,0,0,0
201516,MI1M020006,SCUOLA SECONDARIA I GRADO,2,27,27,0,0,0
201516,MIPC075007,SCUOLA SECONDARIA II GRADO,1,21,21,0,0,0
201516,NA1E239009,SCUOLA PRIMARIA,5,17,17,0,0,0
201516,PA1E03200N,SCUOLA PRIMARIA,3,21,19,2,0,2
201516,BSPMVC500O,SCUOLA SECONDARIA II GRADO,1,8,8,0,0,0
201516,SATF28500H,SCUOLA SECONDARIA II GRADO,3,8,8,0,0,0
201516,SSPL015003,SCUOLA SECONDARIA II GRADO,2,2,2,0,0,0
