ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202122,NARF5I500H,SCUOLA SECONDARIA II GRADO,1,1,1,27
202122,CR1E00300E,SCUOLA PRIMARIA,1,2,21,13
202122,TO1E00700E,SCUOLA PRIMARIA,4,2,16,20
202122,NA1E113008,SCUOLA PRIMARIA,3,1,8,6
202122,MB1E07100P,SCUOLA PRIMARIA,4,2,21,22
202122,AVTDAS5006,SCUOLA SECONDARIA II GRADO,1,1,2,1
202122,AT1M00200R,SCUOLA SECONDARIA I GRADO,1,1,9,7
202122,AT1E00200G,SCUOLA PRIMARIA,1,1,13,7
202122,RN1M030007,SCUOLA SECONDARIA I GRADO,3,2,21,25
202122,BA1E00400B,SCUOLA PRIMARIA,1,2,15,16
202122,CA1E01700A,SCUOLA PRIMARIA,1,1,8,7
202122,UDTBCH500I,SCUOLA SECONDARIA II GRADO,4,1,12,1
202122,NAPL7N500U,SCUOLA SECONDARIA II GRADO,1,1,1,2
202122,MI1E13300X,SCUOLA PRIMARIA,2,1,14,13
202122,SRPS395007,SCUOLA SECONDARIA II GRADO,2,1,1,0
202122,RMPS08500D,SCUOLA SECONDARIA II GRADO,1,2,31,12
202122,RMPS4A500Z,SCUOLA SECONDARIA II GRADO,3,1,17,1
202122,VR1ESU500Z,SCUOLA PRIMARIA,4,1,8,11
202122,TS1E00400N,SCUOLA PRIMARIA,1,1,6,9
202122,TOTA015004,SCUOLA SECONDARIA II GRADO,5,1,25,2
202122,CA1M01000R,SCUOLA SECONDARIA I GRADO,3,2,22,20
202122,NARH4C5006,SCUOLA SECONDARIA II GRADO,1,1,3,11
202122,NA1E01700P,SCUOLA PRIMARIA,2,2,27,18
202122,MIPM0O500U,SCUOLA SECONDARIA II GRADO,4,2,20,8
202122,NA1E12300V,SCUOLA PRIMARIA,1,2,13,13
202122,RC1E00200R,SCUOLA PRIMARIA,4,2,6,15
202122,GEPMAH500O,SCUOLA SECONDARIA II GRADO,2,2,12,28
202122,NAPMUF500A,SCUOLA SECONDARIA II GRADO,1,1,1,5
202122,SS1E01100Q,SCUOLA PRIMARIA,3,1,7,5
202122,MBRH00500P,SCUOLA SECONDARIA II GRADO,4,2,30,13
202122,BG1M006009,SCUOLA SECONDARIA I GRADO,1,2,29,18
202122,PD1M007002,SCUOLA SECONDARIA I GRADO,3,1,18,9
202122,MBPC215006,SCUOLA SECONDARIA II GRADO,4,1,7,10
202122,RMPL0L500V,SCUOLA SECONDARIA II GRADO,3,1,2,3
202122,BN1E001006,SCUOLA PRIMARIA,4,3,20,17
202122,BNRHN2500D,SCUOLA SECONDARIA II GRADO,2,1,2,2
202122,RM1E18100T,SCUOLA PRIMARIA,1,1,9,7
202122,NAPS68500Q,SCUOLA SECONDARIA II GRADO,4,1,12,10
202122,SARH8B5007,SCUOLA SECONDARIA II GRADO,2,1,2,2
202122,VARFR75004,SCUOLA SECONDARIA II GRADO,4,1,4,2
202122,CE1E01100T,SCUOLA PRIMARIA,5,1,9,23
202122,RM1M04900A,SCUOLA SECONDARIA I GRADO,1,2,22,10
202122,NA1E073003,SCUOLA PRIMARIA,2,1,12,10
202122,TVRA3C5009,SCUOLA SECONDARIA II GRADO,1,1,16,9
202122,RM1M079006,SCUOLA SECONDARIA I GRADO,2,2,26,22
202122,NA1E25800P,SCUOLA PRIMARIA,3,1,8,13
202122,VI1E00400P,SCUOLA PRIMARIA,3,2,17,18
202122,MBPS0G5007,SCUOLA SECONDARIA II GRADO,4,1,7,5
202122,RM1E09000Q,SCUOLA PRIMARIA,5,2,20,35
202122,BLPS54500H,SCUOLA SECONDARIA II GRADO,4,1,13,5
202122,BSPSL9500N,SCUOLA SECONDARIA II GRADO,3,1,11,12
202122,PO1E006004,SCUOLA PRIMARIA,1,2,17,22
202122,FI1E022002,SCUOLA PRIMARIA,5,1,14,12
202122,CSPQ025009,SCUOLA SECONDARIA II GRADO,5,1,2,9
202122,AP1E00400B,SCUOLA PRIMARIA,3,1,8,4
202122,AQ1E00700D,SCUOLA PRIMARIA,3,1,14,14
202122,SAPS8F500U,SCUOLA SECONDARIA II GRADO,3,1,1,4
202122,RM1E02000D,SCUOLA PRIMARIA,3,1,11,8
202122,RMPLCV500U,SCUOLA SECONDARIA II GRADO,1,1,2,1
202122,TORI46500C,SCUOLA SECONDARIA II GRADO,3,1,7,5
202122,MI1MMU500B,SCUOLA SECONDARIA I GRADO,3,1,7,11
202122,TO1EPI500H,SCUOLA PRIMARIA,5,1,10,6
202122,MI1M084005,SCUOLA SECONDARIA I GRADO,1,2,18,17
202122,RMPL50500Q,SCUOLA SECONDARIA II GRADO,4,1,13,7
202122,AVTD06500A,SCUOLA SECONDARIA II GRADO,3,1,0,3
202122,CL1E003004,SCUOLA PRIMARIA,4,1,7,13
202122,VITB15500E,SCUOLA SECONDARIA II GRADO,1,1,12,0
202122,CA1E020006,SCUOLA PRIMARIA,3,1,14,7
202122,NA1E022006,SCUOLA PRIMARIA,4,2,26,27
202122,VA1E00700C,SCUOLA PRIMARIA,2,2,13,19
202122,NAPL00500C,SCUOLA SECONDARIA II GRADO,2,1,0,1
202122,MI1E140003,SCUOLA PRIMARIA,4,3,21,24
202122,MI1E12600R,SCUOLA PRIMARIA,2,3,41,32
202122,TOTA015004,SCUOLA SECONDARIA II GRADO,3,1,20,7
202122,RM1E156005,SCUOLA PRIMARIA,2,1,3,4
202122,RM1E142007,SCUOLA PRIMARIA,3,2,27,31
202122,PG1E001003,SCUOLA PRIMARIA,2,1,7,8
202122,PA1E014004,SCUOLA PRIMARIA,1,4,39,38
202122,PA1E04000L,SCUOLA PRIMARIA,1,1,6,6
202122,REPLP0500O,SCUOLA SECONDARIA II GRADO,2,1,4,6
202122,LE1E00100P,SCUOLA PRIMARIA,4,2,19,22
202122,FI1E014003,SCUOLA PRIMARIA,2,2,17,19
202122,RC1M00300T,SCUOLA SECONDARIA I GRADO,2,1,8,1
202122,NO1E00200X,SCUOLA PRIMARIA,1,2,25,23
202122,NARHTO500T,SCUOLA SECONDARIA II GRADO,3,1,2,0
202122,NA1E27300R,SCUOLA PRIMARIA,5,1,13,5
202122,SA1E016009,SCUOLA PRIMARIA,5,2,14,18
202122,CETF6B500H,SCUOLA SECONDARIA II GRADO,5,2,58,9
202122,NA1E02500N,SCUOLA PRIMARIA,3,2,23,14
202122,NA1E03700X,SCUOLA PRIMARIA,2,3,21,21
202122,PVRFL2500T,SCUOLA SECONDARIA II GRADO,3,1,6,2
202122,GE1M030003,SCUOLA SECONDARIA I GRADO,3,1,15,9
202122,NAPMRP500S,SCUOLA SECONDARIA II GRADO,3,1,1,3
202122,TV1E01700D,SCUOLA PRIMARIA,1,3,31,26
202122,NA1E24000D,SCUOLA PRIMARIA,3,1,7,3
202122,TO1MB25008,SCUOLA SECONDARIA I GRADO,2,2,18,24
202122,PGPM02500T,SCUOLA SECONDARIA II GRADO,5,1,5,9
202122,VR1E01400N,SCUOLA PRIMARIA,1,1,15,8
202122,VR1E009006,SCUOLA PRIMARIA,1,1,8,15
202122,RMPC33500X,SCUOLA SECONDARIA II GRADO,4,1,3,6
202122,NOPL015002,SCUOLA SECONDARIA II GRADO,3,1,4,5
202122,MO1EF4500G,SCUOLA PRIMARIA,1,1,7,7
202122,MO1E01000G,SCUOLA PRIMARIA,2,2,11,13
202122,BO1E01700C,SCUOLA PRIMARIA,2,2,32,10
202122,BOPL02500B,SCUOLA SECONDARIA II GRADO,1,1,1,15
202122,NA1ED8500Q,SCUOLA PRIMARIA,1,1,2,4
202122,TOPS01500P,SCUOLA SECONDARIA II GRADO,1,1,13,14
202122,NA1E18100V,SCUOLA PRIMARIA,4,1,17,8
202122,RA1E00300B,SCUOLA PRIMARIA,4,2,18,22
202122,RM1M04000X,SCUOLA SECONDARIA I GRADO,2,3,29,32
202122,PATF02500T,SCUOLA SECONDARIA II GRADO,1,1,2,0
202122,GE1E01700B,SCUOLA PRIMARIA,4,1,8,8
202122,NATF34500R,SCUOLA SECONDARIA II GRADO,3,1,5,0
202122,TOPL66500H,SCUOLA SECONDARIA II GRADO,3,1,7,21
202122,MBPS1Q500V,SCUOLA SECONDARIA II GRADO,3,2,14,10
202122,RM1E126009,SCUOLA PRIMARIA,3,1,9,11
202122,BI1M01000N,SCUOLA SECONDARIA I GRADO,3,1,13,8
202122,FIPS04500X,SCUOLA SECONDARIA II GRADO,5,2,20,4
202122,AQ1E00600N,SCUOLA PRIMARIA,1,1,8,5
202122,VARFIU5007,SCUOLA SECONDARIA II GRADO,2,1,2,8
202122,CO1E01100A,SCUOLA PRIMARIA,3,2,29,17
202122,CE1E044005,SCUOLA PRIMARIA,5,1,10,5
202122,RMPME45007,SCUOLA SECONDARIA II GRADO,5,2,15,33
202122,RMPLLD5008,SCUOLA SECONDARIA II GRADO,5,2,6,18
202122,PA1E01000R,SCUOLA PRIMARIA,4,1,7,13
202122,NA1E007004,SCUOLA PRIMARIA,2,1,10,9
202122,FI1E006004,SCUOLA PRIMARIA,5,1,12,14
202122,BS1M00700N,SCUOLA SECONDARIA I GRADO,2,2,15,16
202122,MI1E07900C,SCUOLA PRIMARIA,3,1,13,9
202122,MI1E01400N,SCUOLA PRIMARIA,5,2,19,9
202122,PD1E00300D,SCUOLA PRIMARIA,2,1,13,8
202122,CHTF00500E,SCUOLA SECONDARIA II GRADO,4,1,2,0
202122,VIPM01500B,SCUOLA SECONDARIA II GRADO,4,2,15,18
202122,BSPS13500P,SCUOLA SECONDARIA II GRADO,2,1,11,6
202122,FI1E021006,SCUOLA PRIMARIA,4,1,9,6
202122,APPSR5500N,SCUOLA SECONDARIA II GRADO,3,1,1,0
202122,MERH015005,SCUOLA SECONDARIA II GRADO,5,2,29,27
202122,PETD03500L,SCUOLA SECONDARIA II GRADO,5,1,16,2
202122,MBRH02500X,SCUOLA SECONDARIA II GRADO,1,1,15,6
202122,LCTB00500V,SCUOLA SECONDARIA II GRADO,4,1,5,3
202122,BO1E01500R,SCUOLA PRIMARIA,3,2,22,23
202122,MI1M08100N,SCUOLA SECONDARIA I GRADO,1,2,18,24
202122,SA1E018001,SCUOLA PRIMARIA,2,1,8,6
202122,CE1E065006,SCUOLA PRIMARIA,4,1,4,10
202122,FIPL005008,SCUOLA SECONDARIA II GRADO,1,1,1,5
202122,MI1E11800T,SCUOLA PRIMARIA,5,1,15,9
202122,VRPM055006,SCUOLA SECONDARIA II GRADO,3,1,12,17
202122,NA1E23600T,SCUOLA PRIMARIA,2,1,8,8
202122,SIPS01500C,SCUOLA SECONDARIA II GRADO,5,1,7,5
202122,RMTA1T500M,SCUOLA SECONDARIA II GRADO,2,1,6,2
202122,RM1E155009,SCUOLA PRIMARIA,3,2,27,9
202122,PE1M5C500R,SCUOLA SECONDARIA I GRADO,2,1,7,9
202122,PG1M001008,SCUOLA SECONDARIA I GRADO,2,1,12,8
202122,LCTF66500Z,SCUOLA SECONDARIA II GRADO,5,1,6,2
202122,VR1E01000A,SCUOLA PRIMARIA,4,1,11,16
202122,RE1E008001,SCUOLA PRIMARIA,3,2,16,22
202122,RE1E00300T,SCUOLA PRIMARIA,5,2,22,16
202122,BGPQ235008,SCUOLA SECONDARIA II GRADO,5,1,8,17
202122,FE1M00200P,SCUOLA SECONDARIA I GRADO,3,2,17,14
202122,MO1E01100B,SCUOLA PRIMARIA,2,2,23,24
202122,BG1M02100B,SCUOLA SECONDARIA I GRADO,1,1,7,11
202122,PVPSTA500Q,SCUOLA SECONDARIA II GRADO,2,1,5,3
202122,SA1MR95005,SCUOLA SECONDARIA I GRADO,1,1,4,0
202122,SAPS975006,SCUOLA SECONDARIA II GRADO,2,1,2,1
202122,CTPM075009,SCUOLA SECONDARIA II GRADO,2,1,4,2
202122,BGPS135006,SCUOLA SECONDARIA II GRADO,5,1,5,6
202122,VI1M01500A,SCUOLA SECONDARIA I GRADO,2,1,3,8
202122,BL1M00200L,SCUOLA SECONDARIA I GRADO,3,1,13,5
202122,MB1E06900P,SCUOLA PRIMARIA,2,2,18,25
202122,RMPS655007,SCUOLA SECONDARIA II GRADO,3,1,2,1
202122,RNPC015002,SCUOLA SECONDARIA II GRADO,4,1,3,20
202122,MIPS445002,SCUOLA SECONDARIA II GRADO,2,1,12,10
202122,NA1E21000N,SCUOLA PRIMARIA,1,2,11,5
202122,SA1E02200L,SCUOLA PRIMARIA,1,1,5,2
202122,RM1M01400B,SCUOLA SECONDARIA I GRADO,2,1,9,17
202122,VTPM7D500R,SCUOLA SECONDARIA II GRADO,3,1,6,5
